SUBTEMPLATE;MAC;HOSTNAME;DOMAIN;MGMT_VLAN;MGMT_IP;MGMT_MASK;DEF_GW;DNS1;DNS2
r60212c01;ec-f4-bb-c3-0b-fa;r60212c01;encore-oam.com;104;10.7.20.29;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c02;ec-f4-bb-c3-09-42;r60212c02;encore-oam.com;104;10.7.20.30;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c03;ec-f4-bb-c0-c3-ba;r60212c03;encore-oam.com;104;10.7.20.31;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c04;ec-f4-bb-c1-71-06;r60212c04;encore-oam.com;104;10.7.20.32;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c05;ec-f4-bb-c3-0b-02;r60212c05;encore-oam.com;104;10.7.20.33;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c06;44-a8-42-20-6d-90;r60212c06;encore-oam.com;104;10.7.20.34;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c07;44-a8-42-20-95-82;r60212c07;encore-oam.com;104;10.7.20.35;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c08;44-a8-42-20-9c-ec;r60212c08;encore-oam.com;104;10.7.20.36;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c09;44-a8-42-20-99-07;r60212c09;encore-oam.com;104;10.7.20.37;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60212c10;44-a8-42-20-92-be;r60212c10;encore-oam.com;104;10.7.20.38;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60206c03;ec-f4-bb-c2-cc-f6;r60206c03;encore-oam.com;104;10.7.20.43;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60206c04;ec-f4-bb-c3-09-7e;r60206c04;encore-oam.com;104;10.7.20.44;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
r60206c05;ec-f4-bb-c2-d5-9a;r60206c05;encore-oam.com;104;10.7.20.45;255.255.255.0;10.7.20.1;10.231.0.101;10.231.0.103
